year,country,threshold_exp,currency_exp,exchangerate_exp,threshold_exp_eur,threshold_imp,currency_imp,exchangerate_imp,threshold_imp_eur,comments
2018,"GR",90000,"EUR",1,90000,150000,"EUR",1,150000,""
2019,"GR",90000,"EUR",1,90000,150000,"EUR",1,150000,""
2013,"HR",1700000,"HRK",.14,238000,1700000,"HRK",.14,238000,"http://www.cktz.hr/vijest01.php"
2014,"HR",1200000,"HRK",.14,168000,1200000,"HRK",.14,168000,"http://www.kogra.hr/hr/obavjesti/48-intrastat-2014.html"
2015,"HR",1000000,"HRK",.14,140000,1800000,"HRK",.14,252000,"https://www.hrvatski-izvoznici.hr/vijesti/intrastat-prag-uklucivanja-za-2015"
2016,"HR",900000,"HRK",.14,126000,1800000,"HRK",.14,252000,"https://www.dzs.hr/hrv/intrastat/guide/Upute%20za%20izvjestajne%20jedinice%202016.pdf"
2017,"HR",750000,"HRK",.14,105000,1700000,"HRK",.14,238000,""
2018,"HR",1000000,"HRK",.14,140000,1900000,"HRK",.14,266000,""
2019,"HR",1200000,"HRK",.14,168000,2200000,"HRK",.14,308000,""
2004,"HU",25000000,"HUF",.0031,77500,25000000,"HUF",.0031,77500,"https://www.portfolio.hu/gazdasag/uj-vamstatisztikai-rendszer.40821.html"
2005,"HU",1.000e+08,"HUF",.0031,310000,60000000,"HUF",.0031,186000,""
2006,"HU",1.000e+08,"HUF",.0031,310000,60000000,"HUF",.0031,186000,"http://repo.aki.gov.hu/2876/1/ai_2007_3.pdf"
2007,"HU",1.000e+08,"HUF",.0031,310000,60000000,"HUF",.0031,186000,"http://www.kozlonyok.hu/kozlonyok/Kozlonyok/25/PDF/2006/4.pdf"
2008,"HU",1.000e+08,"HUF",.0031,310000,1.000e+08,"HUF",.0031,310000,""
2009,"HU",1.000e+08,"HUF",.0031,310000,1.000e+08,"HUF",.0031,310000,""
2010,"HU",1.000e+08,"HUF",.0031,310000,1.000e+08,"HUF",.0031,310000,""
2011,"HU",1.000e+08,"HUF",.0031,310000,1.000e+08,"HUF",.0031,310000,"https://net.jogtar.hu/getpdf?docid=A15T0612.KSH&targetdate=fffffff4&printTitle=KSH%20t%C3%A1j%C3%A9koztat%C3%B3&referer=http%3A//net.jogtar.hu/jr/gen/hjegy_doc.cgi%3Fdocid%3D00000001.TXT"
2012,"HU",1.000e+08,"HUF",.0031,310000,1.000e+08,"HUF",.0031,310000,""
2013,"HU",1.000e+08,"HUF",.0031,310000,1.000e+08,"HUF",.0031,310000,""
2014,"HU",1.000e+08,"HUF",.0031,310000,1.000e+08,"HUF",.0031,310000,"http://unibrillant.hu/szolgaltatasaink/intrastat-jelentes/"
2015,"HU",1.000e+08,"HUF",.0031,310000,1.000e+08,"HUF",.0031,310000,"http://xn--termkdj-eya2b.hu/wp-content/uploads/2014/12/INTRASTAT-kitoltesi_utmutato_2015.pdf"
2016,"HU",1.000e+08,"HUF",.0031,310000,1.000e+08,"HUF",.0031,310000,"http://docplayer.hu/14570429-Kitoltesi-utmutato-az-intrastat-kerdoivekhez.html"
2017,"HU",1.000e+08,"HUF",.0031,310000,1.700e+08,"HUF",.0031,527000,""
2018,"HU",1.000e+08,"HUF",.0031,310000,1.700e+08,"HUF",.0031,527000,""
2019,"HU",1.000e+08,"HUF",.0031,310000,1.700e+08,"HUF",.0031,527000,""
1993,"IE",635000,"EUR",1,635000,100000,"IEP",1.2697381,126974,""
1994,"IE",635000,"EUR",1,635000,100000,"IEP",1.2697381,126974,""
1995,"IE",635000,"EUR",1,635000,100000,"IEP",1.2697381,126974,""
1996,"IE",635000,"EUR",1,635000,100000,"IEP",1.2697381,126974,""
1997,"IE",635000,"EUR",1,635000,100000,"IEP",1.2697381,126974,""
1998,"IE",635000,"EUR",1,635000,100000,"IEP",1.2697381,126974,""
1999,"IE",635000,"EUR",1,635000,100000,"IEP",1.2697381,126974,""
2000,"IE",635000,"EUR",1,635000,190000,"EUR",1,190000,""
2001,"IE",635000,"EUR",1,635000,190000,"EUR",1,190000,""
2002,"IE",635000,"EUR",1,635000,190000,"EUR ",1,190000,""
2003,"IE",635000,"EUR",1,635000,190000,"EUR ",1,190000,""
2004,"IE",635000,"EUR",1,635000,190000,"EUR ",1,190000,"https://www.oireachtas.ie/en/debates/debate/dail/2004-06-01/32/"
2005,"IE",635000,"EUR",1,635000,191000,"EUR ",1,191000,""
2006,"IE",635000,"EUR",1,635000,191000,"EUR ",1,191000,""
2007,"IE",635000,"EUR",1,635000,191000,"EUR ",1,191000,""
2008,"IE",635000,"EUR",1,635000,191000,"EUR ",1,191000,""
2009,"IE",635000,"EUR",1,635000,191000,"EUR ",1,191000,""
2010,"IE",635000,"EUR",1,635000,191000,"EUR ",1,191000,""
2011,"IE",635000,"EUR",1,635000,191000,"EUR ",1,191000,""
2012,"IE",635000,"EUR",1,635000,191000,"EUR ",1,191000,""
2013,"IE",635000,"EUR",1,635000,191000,"EUR ",1,191000,""
2014,"IE",635000,"EUR",1,635000,191000,"EUR ",1,191000,""
2015,"IE",635000,"EUR",1,635000,191000,"EUR ",1,191000,""
2016,"IE",635000,"EUR",1,635000,500000,"EUR",1,500000,""
2017,"IE",635000,"EUR",1,635000,500000,"EUR",1,500000,""
2018,"IE",635000,"EUR",1,635000,500000,"EUR",1,500000,""
2019,"IE",635000,"EUR",1,635000,500000,"EUR",1,500000,""
1993,"IT",79000,"EUR",1,79000,79000,"EUR",1,79000,""
1994,"IT",79000,"EUR",1,79000,79000,"EUR",1,79000,""
1995,"IT",79000,"EUR",1,79000,79000,"EUR",1,79000,""
1996,"IT",79000,"EUR",1,79000,79000,"EUR",1,79000,""
1997,"IT",79000,"EUR",1,79000,79000,"EUR",1,79000,""
1998,"IT",79000,"EUR",1,79000,79000,"EUR",1,79000,""
1999,"IT",154000,"EUR",1,154000,103291,"EUR",1,103291,""
2000,"IT",154000,"EUR",1,154000,103291,"EUR",1,103291,""
2001,"IT",154000,"EUR",1,154000,103291,"EUR",1,103291,""
2002,"IT",154000,"EUR",1,154000,103291,"EUR",1,103291,""
2003,"IT",154000,"EUR",1,154000,103291,"EUR",1,103291,""
2004,"IT",200000,"EUR",1,200000,150000,"EUR",1,150000,""
2005,"IT",200000,"EUR",1,200000,150000,"EUR",1,150000,""
2006,"IT",200000,"EUR",1,200000,150000,"EUR",1,150000,""
2007,"IT",200000,"EUR",1,200000,180000,"EUR",1,180000,""
2008,"IT",250000,"EUR",1,250000,180000,"EUR",1,180000,""
2009,"IT",250000,"EUR",1,250000,180000,"EUR",1,180000,""
2010,"IT",250000,"EUR",1,250000,180000,"EUR",1,180000,""
2011,"IT",200000,"EUR",1,200000,200000,"EUR",1,200000,""
2012,"IT",200000,"EUR",1,200000,200000,"EUR",1,200000,""
2013,"IT",200000,"EUR",1,200000,200000,"EUR",1,200000,""
2014,"IT",200000,"EUR",1,200000,200000,"EUR",1,200000,""
2015,"IT",200000,"EUR",1,200000,200000,"EUR",1,200000,""
2016,"IT",200000,"EUR",1,200000,200000,"EUR",1,200000,""
2017,"IT",200000,"EUR",1,200000,200000,"EUR",1,200000,""
2018,"IT",400000,"EUR",1,400000,800000,"EUR",1,800000,"https://www.centocinquanta.it/novita-dal-2018-in-materia-di-modelli-intrastat-chiarimenti/"
2019,"IT",400000,"EUR",1,400000,800000,"EUR",1,800000,""
2004,"LT",97000,"LTL",.28962002,28093,47000,"LTL",.28962002,13612,"https://osp.stat.gov.lt/intrastato-ribos"
2005,"LT",160000,"LTL",.28962002,46339,90000,"LTL",.28962002,26066,"https://www.lrmuitine.lt/mport/failai/verslui/prekyba_su_es/pildymo_vadovas/Intrastato_vadovas.pdf"
2006,"LT",200000,"LTL",.28962002,57924,110000,"LTL",.28962002,31858,"converted using exchange rate of 3.4528"
2007,"LT",350000,"LTL",.28962002,101367,250000,"LTL",.28962002,72405,""
2008,"LT",550000,"LTL",.28962002,159291,450000,"LTL",.28962002,130329,""
2009,"LT",500000,"LTL",.28962002,144810,500000,"LTL",.28962002,144810,""
2010,"LT",500000,"LTL",.28962002,144810,450000,"LTL",.28962002,130329,"http://savadai.savadai.lt/document.php?id=10003&PHPSESSID=46cfd2ee3cf171c6e058adbeb21b1fda"
2011,"LT",600000,"LTL",.28962002,173772,550000,"LTL",.28962002,159291,""
2012,"LT",700000,"LTL",.28962002,202734,650000,"LTL",.28962002,188253,""
2013,"LT",750000,"LTL",.28962002,217215,700000,"LTL",.28962002,202734,""
2014,"LT",750000,"LTL",.28962002,217215,700000,"LTL",.28962002,202734,""
2015,"LT",215000,"EUR",1,215000,290000,"EUR",1,290000,""
2016,"LT",200000,"EUR",1,200000,280000,"EUR",1,280000,""
2017,"LT",170000,"EUR",1,170000,280000,"EUR",1,280000,""
2018,"LT",150000,"EUR",1,150000,250000,"EUR",1,250000,""
2019,"LT",150000,"EUR",1,150000,250000,"EUR",1,250000,"https://www.asd-int.com/wp-content/uploads/2019/02/Tableau-seuil-intrastat-2019-EN.pdf"
1993,"LU",100000,"EUR",1,100000,100000,"EUR",1,100000,""
1994,"LU",100000,"EUR",1,100000,100000,"EUR",1,100000,""
1995,"LU",100000,"EUR",1,100000,100000,"EUR",1,100000,""
1996,"LU",100000,"EUR",1,100000,100000,"EUR",1,100000,""
1997,"LU",100000,"EUR",1,100000,100000,"EUR",1,100000,""
1998,"LU",100000,"EUR",1,100000,100000,"EUR",1,100000,""
1999,"LU",100000,"EUR",1,100000,100000,"EUR",1,100000,""
2000,"LU",100000,"EUR",1,100000,100000,"EUR",1,100000,""
2001,"LU",100000,"EUR",1,100000,100000,"EUR",1,100000,""
2002,"LU",100000,"EUR",1,100000,100000,"EUR",1,100000,""
2003,"LU",100000,"EUR",1,100000,100000,"EUR",1,100000,""
2004,"LU",100000,"EUR",1,100000,100000,"EUR",1,100000,""
2005,"LU",150000,"EUR",1,150000,150000,"EUR",1,150000,""
2006,"LU",150000,"EUR",1,150000,150000,"EUR",1,150000,""
2007,"LU",150000,"EUR",1,150000,150000,"EUR",1,150000,""
2008,"LU",150000,"EUR",1,150000,150000,"EUR",1,150000,""
2009,"LU",150000,"EUR",1,150000,150000,"EUR",1,150000,""
2010,"LU",150000,"EUR",1,150000,150000,"EUR",1,150000,""
2011,"LU",150000,"EUR",1,150000,200000,"EUR",1,200000,""
2012,"LU",150000,"EUR",1,150000,200000,"EUR",1,200000,""
2013,"LU",150000,"EUR",1,150000,200000,"EUR",1,200000,""
2014,"LU",150000,"EUR",1,150000,200000,"EUR",1,200000,""
2015,"LU",150000,"EUR",1,150000,200000,"EUR",1,200000,""
2016,"LU",150000,"EUR",1,150000,200000,"EUR",1,200000,""
2017,"LU",150000,"EUR",1,150000,200000,"EUR",1,200000,""
2018,"LU",150000,"EUR",1,150000,200000,"EUR",1,200000,""
2019,"LU",150000,"EUR",1,150000,200000,"EUR",1,200000,""
2004,"LV",78000,"EUR",1,78000,57000,"EUR",1,57000,""
2005,"LV",78000,"EUR",1,78000,57000,"EUR",1,57000,""
2006,"LV",115200,"EUR",1,115200,69700,"EUR",1,69700,""
2007,"LV",115200,"EUR",1,115200,69700,"EUR",1,69700,""
2008,"LV",142000,"EUR",1,142000,92487,"EUR",1,92487,""
2009,"LV",142000,"EUR",1,142000,142288,"EUR",1,142288,""
2010,"LV",100000,"EUR",1,100000,114000,"EUR",1,114000,""
2011,"LV",142000,"EUR",1,142000,142000,"EUR",1,142000,""
2012,"LV",142000,"EUR",1,142000,142000,"EUR",1,142000,""
2013,"LV",142000,"EUR",1,142000,142000,"EUR",1,142000,""
2014,"LV",130000,"EUR",1,130000,130000,"EUR",1,130000,""
2015,"LV",130000,"EUR",1,130000,170000,"EUR",1,170000,"https://www.simplyvat.com/wp-content/uploads/2015/02/Intrastat-Reporting-Thresholds_January-2015.pdf"
2016,"LV",130000,"EUR",1,130000,180000,"EUR",1,180000,""
2017,"LV",100000,"EUR",1,100000,180000,"EUR",1,180000,""
2018,"LV",100000,"EUR",1,100000,200000,"EUR",1,200000,""
2019,"LV",100000,"EUR",1,100000,200000,"EUR",1,200000,""
2004,"MT",700,"EUR",1,700,700,"EUR",1,700,""
2005,"MT",700,"EUR",1,700,700,"EUR",1,700,""
2006,"MT",700,"EUR",1,700,700,"EUR",1,700,""
2007,"MT",700,"EUR",1,700,700,"EUR",1,700,""
2008,"MT",700,"EUR",1,700,700,"EUR",1,700,""
2009,"MT",700,"EUR",1,700,700,"EUR",1,700,""
2010,"MT",700,"EUR",1,700,700,"EUR",1,700,""
2011,"MT",700,"EUR",1,700,700,"EUR",1,700,""
2012,"MT",700,"EUR",1,700,700,"EUR",1,700,""
2013,"MT",700,"EUR",1,700,700,"EUR",1,700,""
2014,"MT",700,"EUR",1,700,700,"EUR",1,700,""
2015,"MT",700,"EUR",1,700,700,"EUR",1,700,"https://www.simplyvat.com/wp-content/uploads/2015/02/Intrastat-Reporting-Thresholds_January-2015.pdf"
2016,"MT",700,"EUR",1,700,700,"EUR",1,700,""
2017,"MT",700,"EUR",1,700,700,"EUR",1,700,""
2018,"MT",700,"EUR",1,700,700,"EUR",1,700,""
2019,"MT",700,"EUR",1,700,700,"EUR",1,700,""
1993,"NL",81000,"EUR",1,81000,81000,"EUR",1,81000,""
1994,"NL",81000,"EUR",1,81000,81000,"EUR",1,81000,""
1995,"NL",190000,"EUR",1,190000,190000,"EUR",1,190000,""
1996,"NL",190000,"EUR",1,190000,190000,"EUR",1,190000,""
1997,"NL",225000,"EUR",1,225000,225000,"EUR",1,225000,""
1998,"NL",225000,"EUR",1,225000,225000,"EUR",1,225000,""
1999,"NL",225000,"EUR",1,225000,225000,"EUR",1,225000,""
2000,"NL",225000,"EUR",1,225000,225000,"EUR",1,225000,""
2001,"NL",225000,"EUR",1,225000,225000,"EUR",1,225000,""
2002,"NL",225000,"EUR",1,225000,225000,"EUR",1,225000,""
2003,"NL",225000,"EUR",1,225000,225000,"EUR",1,225000,""
2004,"NL",225000,"EUR",1,225000,225000,"EUR",1,225000,""
2005,"NL",400000,"EUR",1,400000,400000,"EUR",1,400000,""
2006,"NL",400000,"EUR",1,400000,400000,"EUR",1,400000,""
2007,"NL",400000,"EUR",1,400000,400000,"EUR",1,400000,""
2008,"NL",900000,"EUR",1,900000,400000,"EUR",1,400000,""
2009,"NL",900000,"EUR",1,900000,900000,"EUR",1,900000,"https://zoek.officielebekendmakingen.nl/blg-63221.pdf"
2010,"NL",900000,"EUR",1,900000,900000,"EUR",1,900000,""
2011,"NL",900000,"EUR",1,900000,900000,"EUR",1,900000,""
2012,"NL",900000,"EUR",1,900000,900000,"EUR",1,900000,""
2013,"NL",900000,"EUR",1,900000,900000,"EUR",1,900000,"http://ec.europa.eu/smart-regulation/refit/admin_burden/docs/annex_10-4_abrplus_case_study_no_6__intrastat_en.pdf"
2014,"NL",1200000,"EUR",1,1200000,1200000,"EUR",1,1200000,""
2015,"NL",1500000,"EUR",1,1500000,1500000,"EUR",1,1500000,""
2016,"NL",1200000,"EUR",1,1200000,1000000,"EUR",1,1000000,""
2017,"NL",1200000,"EUR",1,1200000,1000000,"EUR",1,1000000,""
2018,"NL",1200000,"EUR",1,1200000,1000000,"EUR",1,1000000,""
2019,"NL",1000000,"EUR",1,1000000,800000,"EUR",1,800000,""
2004,"PL",500000,"PLN",.23,115000,300000,"PLN",.23,69000,""
2005,"PL",500000,"PLN",.23,115000,300000,"PLN",.23,69000,""
2006,"PL",800000,"PLN",.23,184000,500000,"PLN",.23,115000,""
2007,"PL",800000,"PLN",.23,184000,500000,"PLN",.23,115000,""
2008,"PL",800000,"PLN",.23,184000,500000,"PLN",.23,115000,""
2009,"PL",1000000,"PLN",.23,230000,1300000,"PLN",.23,299000,""
2010,"PL",1000000,"PLN",.23,230000,1000000,"PLN",.23,230000,""
2011,"PL",1000000,"PLN",.23,230000,1000000,"PLN",.23,230000,""
2012,"PL",1000000,"PLN",.23,230000,1000000,"PLN",.23,230000,""
2013,"PL",1000000,"PLN",.23,230000,1000000,"PLN",.23,230000,""
2014,"PL",1500000,"PLN",.23,345000,1500000,"PLN",.23,345000,""
2015,"PL",1500000,"PLN",.23,345000,1500000,"PLN",.23,345000,""
2016,"PL",1500000,"PLN",.23,345000,3000000,"PLN",.23,690000,""
2017,"PL",2000000,"PLN",.23,460000,3000000,"PLN",.23,690000,""
2018,"PL",2000000,"PLN",.23,460000,3000000,"PLN",.23,690000,""
2019,"PL",2000000,"PLN",.23,460000,4000000,"PLN",.23,920000,""
1993,"PT",84000,"EUR",1,84000,60000,"EUR",1,60000,""
1994,"PT",84000,"EUR",1,84000,60000,"EUR",1,60000,""
1995,"PT",84000,"EUR",1,84000,60000,"EUR",1,60000,""
1996,"PT",84000,"EUR",1,84000,60000,"EUR",1,60000,""
1997,"PT",84000,"EUR",1,84000,60000,"EUR",1,60000,""
1998,"PT",84000,"EUR",1,84000,60000,"EUR",1,60000,""
1999,"PT",84000,"EUR",1,84000,60000,"EUR",1,60000,""
2000,"PT",84000,"EUR",1,84000,60000,"EUR",1,60000,""
2001,"PT",84000,"EUR",1,84000,60000,"EUR",1,60000,""
2002,"PT",85000,"EUR",1,85000,60000,"EUR",1,60000,""
2003,"PT",85000,"EUR",1,85000,60000,"EUR",1,60000,""
2004,"PT",85000,"EUR",1,85000,60000,"EUR",1,60000,""
2005,"PT",85000,"EUR",1,85000,60000,"EUR",1,60000,""
2006,"PT",85000,"EUR",1,85000,50000,"EUR",1,50000,""
2007,"PT",110000,"EUR",1,110000,70000,"EUR",1,70000,""
2008,"PT",230000,"EUR",1,230000,100000,"EUR",1,100000,""
2009,"PT",550000,"EUR",1,550000,400000,"EUR",1,400000,"https://comum.rcaap.pt/bitstream/10400.26/10819/1/Marco%20Dami%C3%A3o_Disserta%C3%A7%C3%A3o.pdf"
2010,"PT",250000,"EUR",1,250000,300000,"EUR",1,300000,""
2011,"PT",250000,"EUR",1,250000,200000,"EUR",1,200000,""
2012,"PT",250000,"EUR",1,250000,200000,"EUR",1,200000,""
2013,"PT",250000,"EUR",1,250000,250000,"EUR",1,250000,""
2014,"PT",250000,"EUR",1,250000,350000,"EUR",1,350000,""
2015,"PT",250000,"EUR",1,250000,350000,"EUR",1,350000,""
2016,"PT",250000,"EUR",1,250000,350000,"EUR",1,350000,"https://www.accordancevat.com/vat-table/eu-vat-intrastat-reporting-thresholds-2016/"
2017,"PT",250000,"EUR",1,250000,350000,"EUR",1,350000,""
2018,"PT",250000,"EUR",1,250000,350000,"EUR",1,350000,""
2019,"PT",250000,"EUR",1,250000,350000,"EUR",1,350000,""
2007,"RO",900000,"RON",.21,189000,300000,"RON",.21,63000,""
2008,"RO",900000,"RON",.21,189000,300000,"RON",.21,63000,""
2009,"RO",900000,"RON",.21,189000,300000,"RON",.21,63000,""
2010,"RO",900000,"RON",.21,189000,300000,"RON",.21,63000,""
2011,"RO",900000,"RON",.21,189000,300000,"RON",.21,63000,""
2012,"RO",900000,"RON",.21,189000,300000,"RON",.21,63000,""
2013,"RO",900000,"RON",.21,189000,500000,"RON",.21,105000,""
2014,"RO",900000,"RON",.21,189000,500000,"RON",.21,105000,""
2015,"RO",900000,"RON",.21,189000,500000,"RON",.21,105000,""
2016,"RO",900000,"RON",.21,189000,500000,"RON",.21,105000,""
2017,"RO",900000,"RON",.21,189000,900000,"RON",.21,189000,""
2018,"RO",900000,"RON",.21,189000,900000,"RON",.21,189000,""
2019,"RO",900000,"RON",.21,189000,900000,"RON",.21,189000,""
1995,"SE",900000,"SEK",.1,90000,900000,"SEK",.1,90000,""
1996,"SE",900000,"SEK",.1,90000,900000,"SEK",.1,90000,""
1997,"SE",900000,"SEK",.1,90000,900000,"SEK",.1,90000,""
1998,"SE",1500000,"SEK",.1,150000,1500000,"SEK",.1,150000,""
1999,"SE",1500000,"SEK",.1,150000,1500000,"SEK",.1,150000,""
2000,"SE",1500000,"SEK",.1,150000,1500000,"SEK",.1,150000,""
2001,"SE",1500000,"SEK",.1,150000,1500000,"SEK",.1,150000,""
2002,"SE",1500000,"SEK",.1,150000,1500000,"SEK",.1,150000,""
2003,"SE",1500000,"SEK",.1,150000,1500000,"SEK",.1,150000,""
2004,"SE",4500000,"SEK",.1,450000,2200000,"SEK",.1,220000,""
2005,"SE",4500000,"SEK",.1,450000,2200000,"SEK",.1,220000,""
2006,"SE",4500000,"SEK",.1,450000,2200000,"SEK",.1,220000,""
2007,"SE",4500000,"SEK",.1,450000,2200000,"SEK",.1,220000,""
2008,"SE",4500000,"SEK",.1,450000,2200000,"SEK",.1,220000,""
2009,"SE",4500000,"SEK",.1,450000,4500000,"SEK",.1,450000,""
2010,"SE",4500000,"SEK",.1,450000,4500000,"SEK",.1,450000,""
2011,"SE",4500000,"SEK",.1,450000,4500000,"SEK",.1,450000,""
2012,"SE",4500000,"SEK",.1,450000,4500000,"SEK",.1,450000,""
2013,"SE",4500000,"SEK",.1,450000,4500000,"SEK",.1,450000,""
2014,"SE",4500000,"SEK",.1,450000,4500000,"SEK",.1,450000,""
2015,"SE",4500000,"SEK",.1,450000,4500000,"SEK",.1,450000,""
2016,"SE",4500000,"SEK",.1,450000,9000000,"SEK",.1,900000,""
2017,"SE",4500000,"SEK",.1,450000,9000000,"SEK",.1,900000,""
2018,"SE",4500000,"SEK",.1,450000,9000000,"SEK",.1,900000,""
2019,"SE",4500000,"SEK",.1,450000,9000000,"SEK",.1,900000,""
2004,"SI",100000,"EUR",1,100000,100000,"EUR",1,100000,""
2005,"SI",100000,"EUR",1,100000,100000,"EUR",1,100000,""
2006,"SI",100000,"EUR",1,100000,100000,"EUR",1,100000,""
2007,"SI",200000,"EUR",1,200000,85000,"EUR",1,85000,""
2008,"SI",200000,"EUR",1,200000,85000,"EUR",1,85000,""
2009,"SI",200000,"EUR",1,200000,120000,"EUR",1,120000,""
2010,"SI",200000,"EUR",1,200000,120000,"EUR",1,120000,""
2011,"SI",200000,"EUR",1,200000,120000,"EUR",1,120000,""
2012,"SI",200000,"EUR",1,200000,120000,"EUR",1,120000,""
2013,"SI",200000,"EUR",1,200000,120000,"EUR",1,120000,""
2014,"SI",200000,"EUR",1,200000,120000,"EUR",1,120000,""
2015,"SI",200000,"EUR",1,200000,120000,"EUR",1,120000,""
2016,"SI",200000,"EUR",1,200000,120000,"EUR",1,120000,""
2017,"SI",200000,"EUR",1,200000,120000,"EUR",1,120000,""
2018,"SI",220000,"EUR",1,220000,140000,"EUR",1,140000,""
2019,"SI",220000,"EUR",1,220000,140000,"EUR",1,140000,""
2004,"SK",150000,"EUR",1,150000,75000,"EUR",1,75000,""
2005,"SK",150000,"EUR",1,150000,75000,"EUR",1,75000,""
2006,"SK",160000,"EUR",1,160000,80000,"EUR",1,80000,""
2007,"SK",300000,"EUR",1,300000,150000,"EUR",1,150000,""
2008,"SK",300000,"EUR",1,300000,150000,"EUR",1,150000,""
2009,"SK",400000,"EUR",1,400000,200000,"EUR",1,200000,""
2010,"SK",400000,"EUR",1,400000,200000,"EUR",1,200000,""
2011,"SK",400000,"EUR",1,400000,200000,"EUR",1,200000,""
2012,"SK",400000,"EUR",1,400000,200000,"EUR",1,200000,""
2013,"SK",400000,"EUR",1,400000,200000,"EUR",1,200000,""
2014,"SK",400000,"EUR",1,400000,200000,"EUR",1,200000,""
2015,"SK",400000,"EUR",1,400000,200000,"EUR",1,200000,""
2016,"SK",400000,"EUR",1,400000,200000,"EUR",1,200000,""
2017,"SK",400000,"EUR",1,400000,200000,"EUR",1,200000,""
2018,"SK",400000,"EUR",1,400000,200000,"EUR",1,200000,""
